ID,Main,Location,Corporation,Salary,Href,Date
360,Senior IT Analytik,Bratislava,Greyson,2 100 EUR/mesiac,/praca/greyson/O3396145,2023-02-21
361,Embedded C vývojár,"Biznis Centrum Poštová 1, Poštová, Žilina-Vlčince",CertiCon SK s. r. o.,2 500 EUR/mesiac,/praca/certicon-sk/O4518490,2023-02-21
362,Vývojár C++ na Basic software,"Biznis Centrum Poštová 1, Poštová, Žilina-Vlčince",CertiCon SK s. r. o.,2 200 EUR/mesiac,/praca/certicon-sk/O4484359,2023-02-21
363,C++ developer (mid/senior),Práca z domu,Liberum s. r. o.,,/praca/liberum/O4518482,2023-02-21
364, Backend Developer,Remote work,''PRIMEHOST'' LTD,2 800 - 5 000 EUR/mesiac,/praca/-primehost-ltd/O4518279,2023-02-21
365,Senior .NET Developer,"Plynárenská, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Millennium, spol. s r. o.",1 200 EUR/mesiac,/praca/millennium/O3936669,2023-02-21
366,Application Security Engineer,Bratislava,First Line Software s.r.o.,2 700 EUR/mesiac,/praca/first-line-software/O4518289,2023-02-21
367,C++ Software Engineer for MFR,Remote work,First Line Software s.r.o.,4 000 EUR/mesiac,/praca/first-line-software/O4518282,2023-02-21
368,ABAP Developer,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,3 500 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4518266,2023-02-21
369,Solution Architect,"Košice, Slovakia (Job with occasional home office)",Scheidt & Bachmann Slovensko s.r.o.,2 500 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4518263,2023-02-21
370,"PHP [fullstack] programátor na kontrakt, 180 až 240€/MD","Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","TITANS freelancers, s.r.o.",3 600 EUR/mesiac,/praca/titans-freelancers/O4518250,2023-02-21
371,Senior .NET vývojár,Bratislava,STENGL a.s.,3 600 - 4 800 EUR/mesiac,/praca/stengl/O4485734,2023-02-21
372,Android developer,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",STENGL a.s.,"32,5 EUR/hod.",/praca/stengl/O4518218,2023-02-21
373,Programátor/ka analytik/analytička Senior,"Mlynské nivy, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Všeobecná úverová banka, a.s., Intesa Sanpaolo",30 EUR/hod.,/praca/vseobecna-uverova-banka-intesa-sanpaolo/O4518194,2023-02-21
374,React Native programátor (mobile) - Trnava,"Bernolákova 49, Trnava, Slovensko (Job with occasional home office)",mantro s.r.o.,2 400 EUR/mesiac,/praca/mantro/O4489338,2023-02-21
375,Senior .NET vývojár,Bratislava,STENGL a.s.,3 500 EUR/mesiac,/praca/stengl/O4238494,2023-02-21
376,Programátor COBOL,"Ulica. 29.Augusta, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Sociálna poisťovňa, ústredie",2 400 EUR/mesiac,/praca/socialna-poistovna-ustredie/O4442645,2023-02-21
377,SW Architekt,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Unlimit Recruitment, s.r.o.",2 000 EUR/mesiac,/praca/unlimit-recruitment/O4518062,2023-02-21
378,"Skúsený SAP ERP Consultant (Developer) - rôzne moduly (IS-U, CRM, FI, CO, SD, BW, PP, MM...)",Práca z domu,"gd - Team, a.s.",3 000 - 5 000 EUR/mesiac,/praca/gd-team/O4518045,2023-02-21
379,Programátor ,"Einsteinova 25, Petržalka","Privatbanka, a.s.",3 000 EUR/mesiac,/praca/privatbanka/O4518041,2023-02-21
380,SAP ABAP programátor /remote,Práca z domu,"gd - Team, a.s.",3 000 EUR/mesiac,/praca/gd-team/O4518020,2023-02-21
381,IT analytik / architekt / projektový manažér,Práca z domu,AMCEF s.r.o.,2 000 - 4 000 EUR/mesiac,/praca/amcef/O4497227,2023-02-21
382,Programátor - medior/senior,Práca z domu,AMCEF s.r.o.,2 000 - 4 000 EUR/mesiac,/praca/amcef/O4390535,2023-02-21
383,Front-end developer/ka – Vue.js a React.js,Bratislava,"Slovenská sporiteľňa, a.s.",,/praca/slovenska-sporitelna/O4517993,2023-02-21
384,Python developer,Remote work,localhost s.r.o.,2 800 EUR/mesiac,/praca/localhost/O4517970,2023-02-21
385, iOS Developer/ka - Medior/Senior,Práca z domu,ZENTITY Slovakia s.r.o.,2 200 - 3 100 EUR/mesiac,/praca/zentity-slovakia/O3548420,2023-02-21
386,Java developer/ka Medior/Senior,Bratislava,ZENTITY Slovakia s.r.o.,2 300 - 6 400 EUR/mesiac,/praca/zentity-slovakia/O3599068,2023-02-21
387,Pantheon Academy for Trainees - Žilina,"Žilina, Slovakia (Job with occasional home office)",PANTHEON.tech s.r.o.,2 300 - 6 400 EUR/mesiac,/praca/pantheon-tech/O4517897,2023-02-21
388,Pantheon Academy for Trainees - Banská Bystrica,"Banská Bystrica, Slovakia (Job with occasional home office)",PANTHEON.tech s.r.o.,950 - 1 300 EUR/mesiac,/praca/pantheon-tech/O4517894,2023-02-21
389,"Xamarin medior, full remote",Práce z domu,radixal s.r.o.,950 - 1 300 EUR/mesiac,/praca/radixal/O4517893,2023-02-21
390,Pantheon Academy for Trainees - Bratislava,"Bratislava, Slovakia (Job with occasional home office)",PANTHEON.tech s.r.o.,60 000 - 130 000 Kč/mesiac,/praca/pantheon-tech/O3943094,2023-02-21
391,C++ Developer,okres Nitra,Lugera & Maklér spol.s r.o.,950 - 1 300 EUR/mesiac,/praca/lugera-makler/O4517844,2023-02-21
392,"JAVA Software Engineer - Bratislava, Banská Bystrica, Žilina","Žilina, Slovakia (Job with occasional home office)",PANTHEON.tech s.r.o.,2 600 EUR/mesiac,/praca/pantheon-tech/O4400044,2023-02-21
393,"UI Software Engineer - Bratislava, Banská Bystrica, Žilina","Banská Bystrica, Slovakia (Job with occasional home office)",PANTHEON.tech s.r.o.,1 200 - 5 500 EUR/mesiac,/praca/pantheon-tech/O4400051,2023-02-21
394,C# / .NET Developer Junior,"Továrenská, Dubnica nad Váhom",Matador Group,1 200 - 5 000 EUR/mesiac,/praca/matador-group/O4517813,2023-02-21
395,Fullstack Web Developer,"Eurovea, Pribinova, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","WORLD BUSINESS PRESS online, a.s.",1 100 EUR/mesiac,/praca/world-business-press-online/O4517771,2023-02-21
396,Quick tool developer Internship - great opportunity for students!,"Bratislava, Slovakia (Job with occasional home office)","SIA Central Europe, a.s.",2 500 EUR/mesiac,/praca/sia-central-europe/O4517750,2023-02-21
397,Senior JAVA backend developer,Práca z domu,"UNIQA Group Service Center Slovakia, spol. s r.o.","5,5 EUR/hod.",/praca/uniqa-group-service-center-slovakia/O4473977,2023-02-21
398,Angular Developer medior/senior,"Žilina, Slovakia (Job with occasional home office)",Pro HR,2 600 EUR/mesiac,/praca/pro-hr/O4483492,2023-02-21
399,Senior DevOps Engineer (Terraform@AWS),Remote work,"UNIQA Group Service Center Slovakia, spol. s r.o.",3 000 EUR/mesiac,/praca/uniqa-group-service-center-slovakia/O4436175,2023-02-21
400,React Developer Medior/Senior,Remote work,Pro HR,3 500 EUR/mesiac,/praca/pro-hr/O4458146,2023-02-21
