Corporation,Main,Labels
HumanField Vezető- és Specialistakiválasztó Kft. ,PLC PROGRAMOZÓ (16-2027),"
      Rendszerüzemeltető    "
Központi Statisztikai Hivatal ,          Kiemelt        Szoftverfejlesztő,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Senior Python developer,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Szoftver tesztautomatizáló mérnök (biztonságkritikus diagnosztika),"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Warranty data analyst,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Intermediate Application Security Analyst,"
      Rendszerüzemeltető    "
Hire-One Kft. ,IT mérnök (Tatabánya),"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Szoftverfejlesztési csoportvezető (indusztrializáció),"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Technical Support Engineer,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Test architect,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,IT Expert SAP WM/IM and warehousing,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Technical Support Engineer - Junior Java Developer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Embedded Software Tester,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,"Fullstack Developer (Java,Angular)","
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Lead Software Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,"Principal Engineer, Full Stack Architect","
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Security Tech Specialist,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Technical Security Engineer,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,FULL STACK FEJLESZTŐ (ANGULAR/NODE.JS),"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Test Automation Engineer,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Senior Software Engineer,"
      Rendszerüzemeltető    "
Mind-Diák Szövetkezet ,Információbiztonsági gyakornok,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Java Developer,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Szoftverfejlesztő mérnök - Beágyazott rendszerekhez (Szeged),"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Senior Frontend Developer,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Szoftver tesztautomatizáló mérnök (Szeged),"
      Rendszerüzemeltető    "
Mind-Diák Szövetkezet ,Webfejlesztő,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,VMWARE RENDSZERMÉRNÖK ,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Szoftverfejlesztési csapatvezető (Veszprém),"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Java Team Leader,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,DevOps Engineer in Platform Engineering,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Java Software Engineer (in Platform Engineering),"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,IT Operations Administrator,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Senior Java Developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Full Stack Developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Java Developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,PHP fejlesztő,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Specialist IT PA Governance & Strategy,"
      Rendszerüzemeltető    "
MP Solutions Kft. ,IT Rendszerszervező,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Rendszeradminisztrátor - IT infrastruktúra / System administrator - IT Infrastructure,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Szoftverintegrációs mérnök (Veszprém),"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Senior Service Operations Engineer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Gyakornok - IT toborzás,"
      Rendszerüzemeltető    "
Hire-One Kft. ,IT technikus / Rendszergazda,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Senior MES Process Coordinator,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP ABAP Developer - Specialist,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Cplace Java Developer,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,IT specialista,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,"JavaScript developer with understanding of C#, C++","
      Rendszerüzemeltető    "
Trenkwalder Kft ,Devops fejlesztő,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,C# fejlesztő,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Software Test Automation Engineer,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,IT szakember,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Frontend fejlesztő,"
      Rendszerüzemeltető    "
MÁV Szolgáltató Központ Zrt. ,IT technikus (üzemeltetés),"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP Project Coordinator,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Multilingual Service Desk Analyst,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Medior full stack developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Senior Data Engineer,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Beágyazott hardver és szoftver mérnök,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Medior Java Developer,"
      Rendszerüzemeltető    "
Mind-Diák Szövetkezet ,Service desk gyakornok,"
      Rendszerüzemeltető    "
PBS International Kft. ,Backend Fejlesztő (junior/medior/senior),"
      Rendszerüzemeltető    "
LASPED Kft. ,          Kiemelt        ÉPÍTÉSVEZETŐ,"
      Rendszerüzemeltető    "
Kite Zrt ,Webes alkalmazásfejlesztő,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Lead Test Engineer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,IT Project manager,"
      Rendszerüzemeltető    "
Cvonline ,          Kiemelt        IT munkatárs / Project Manager,"
      Rendszerüzemeltető    "
Hire-One Kft. ,Global berendezésfejlesztő / SW fejlesztő mérnök,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Hálózatépítő munkatárs,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,IoT FRONTEND FEJLESZTŐ,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,IoT BACKEND FEJLESZTŐ,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Szoftver Tréner,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Backend fejlesztő,"
      Rendszerüzemeltető    "
