Corporation,Main,Location
"Asseco Solutions, a.s.",Oracle databázový administrátor,"Galvaniho, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Deutsche Telekom IT Solutions Slovakia,Cloud Administrator for Azure,040 11 Košice
Deutsche Telekom IT Solutions Slovakia,Senior application developer (Network data Intelligence),Old Town
Synpulse Slovakia s.r.o.,Trainee Actuary,"Bottova, Bratislava, Slovakia (Job with occasional home office)"
Deutsche Telekom IT Solutions Slovakia,Data Scientist,040 11 Košice
Deutsche Telekom IT Solutions Slovakia,Senior Application Developer (Robotics&Artificial intelligence),"Košice, Slovakia (Job with occasional home office)"
Pro HR,BI/DWH Data Engineer,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Swiss Re,Data Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
Swiss Re,Senior Angular Developer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
Deutsche Telekom IT Solutions Slovakia,Senior Data Engineer (Big Data),Old Town
Swiss Re,Senior Data Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
"ON Semiconductor Slovakia, a.s.",Senior Verification Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
"ON Semiconductor Slovakia, a.s.",Verification Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
Swiss Re,Data & Analytics Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
Pro HR,R Developer,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Úrad pre dohľad nad zdravotnou starostlivosťou,Správca informačného systému,"Žellova 2, Bratislava"
Deutsche Telekom IT Solutions Slovakia,Data Scientist,Old Town
radixal s.r.o.,"Vývojáři všech specializací, 100 % home office",Práce z domu
Pro HR,Data Analyst & Reporting Specialist,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Deutsche Telekom IT Solutions Slovakia,Senior QA Automation Engineer,"Košice, Slovakia (Job with occasional home office)"
Multitude IT Labs (as part of Multitude Group),Test Engineer (Frontend automation),"Svätoplukova, Bratislava, Slovakia (Job with occasional home office)"
ING Hubs Slovakia,RPA Business Analyst,"Bratislava, Slovakia (Job with occasional home office)"
Adamantem HR s.r.o.,Market Analyst,"Prague 1, Czechia (Job with occasional home office)"
Frinx s.r.o.,Frinx Academy - Python/Java  Trainee progam,"Mlynské nivy 48, Bratislava, Slovakia (Job with occasional home office)"
"Zurich Insurance Company Ltd, organizačná zložka",Data Scientist (also for fresh graduates with at least 1 year of part-time experience),"Bratislava, Slovak Republic (Job with occasional home office)"
JOHNSON CONTROLS INTERNATIONAL spol. s r.o.,Pricing Analyst,Remote work
Edgar Baker s. r. o.,Data (Maestro) Engineer ,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
FUERGY Industries j. s. a.,FrontEnd Developer,Žilina
FUERGY Industries j. s. a.,DevOps,Žilina
FUERGY Industries j. s. a.,IT Špecialista,Žilina
Deutsche Telekom IT Solutions Slovakia,Technical Solution Manager,"Košice, Slovakia (Job with occasional home office)"
Grafton Slovakia s.r.o.,Python Developer,Košice
"SIA Central Europe, a.s.",IT Application Developer PL/SQL + Phyton,"Bratislava, Slovakia (Job with occasional home office)"
Framatome Controls s. r. o.,Design Engineer for Nuclear Instrumentation ,Bratislava
QORPO s. r. o.,Back-End Python Developer,Bratislava
"WESTech, spol. s r.o.",PHP / Full-stack Developer,"Stará Vajnorská, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
FUERGY Industries j. s. a.,Tester,Žilina
"SIA Central Europe, a.s.",Senior IT Application Developer PL/SQL,"Bratislava, Slovakia (Job with occasional home office)"
"Zurich Insurance Company Ltd, organizačná zložka","Senior Data Engineer, Commercial Insurance Underwriting Team (possibility of remote work)",Remote work
Deutsche Telekom IT Solutions Slovakia,Senior Software Developer SD-WAN,"Košice, Slovakia (Job with occasional home office)"
"ON Semiconductor Slovakia, a.s.",EDA Tool inžinier,"Mlynské nivy, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
