ID,Main,Location,Corporation,Salary,Href,Date
74,IT Tester (Ref. č.: 1-15-40556),Bratislava,Grafton Slovakia s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1147577/it-tester-ref-c-1-15-40556-,2023-03-21
75,Data analyst (banking sector) (Ref. č.: 1-15-41392),Bratislava,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1314236/data-analyst-banking-sector-ref-c-1-15-41392-,2023-03-21
76,Salesforce Consultant,Bratislava,IBM, 1 900 EUR/mesiac,pracovna-ponuka/1079227/salesforce-consultant,2023-03-21
77,Java software developer,"Nitriansky kraj, Okres Nitra, Nitra","Muehlbauer Technologies, s.r.o.", 1 800 EUR/mesiac,pracovna-ponuka/1328545/java-software-developer,2023-03-21
78,C# SW Developer,"Nitriansky kraj, Okres Nitra, Nitra","Muehlbauer Technologies, s.r.o.", 2 000 EUR/mesiac,pracovna-ponuka/1328539/c-sw-developer,2023-03-21
79,C++ Developer ( medior/senior),"Nitriansky kraj, Okres Nitra, Nitra","Muehlbauer Technologies, s.r.o.", 2 000 EUR/mesiac,pracovna-ponuka/1301897/c-developer-medior-senior-,2023-03-21
80,Python developer (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1321657/python-developer-m-z-,2023-03-21
81,Application Administrator (Ref. č.: 1-16-41096),Košice,Grafton Slovakia s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1302641/application-administrator-ref-c-1-16-41096-,2023-03-21
82,Experienced Data Engineer (for a unique project),Bratislava,IBM, 3 500 EUR/mesiac,pracovna-ponuka/1012235/experienced-data-engineer-for-a-unique-project-,2023-03-21
83,Senior Salesforce Developer,"Bratislavský kraj, Banskobystrický kraj, Košický kraj, Bratislava",IBM, 2 800 EUR/mesiac,pracovna-ponuka/938515/senior-salesforce-developer,2023-03-21
84,IT konzultant,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 675 EUR/mesiac,pracovna-ponuka/1319410/it-konzultant,2023-03-21
85,"Senior systémový & aplikačný administrator(Windows/Linux)- TPP, REMOTE (Ref. č.: 1-16-39789)",Nitra,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1138505/senior-systemovy-aplikacny-administrator-windows-linux-tpp-remote-ref-c-1-16-39789-,2023-03-21
86,Senior BE .NET/C# Developer s presahom na FE (Ref. č.: 1-16-39366),Košice,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1095091/senior-be-net-c-developer-s-presahom-na-fe-ref-c-1-16-39366-,2023-03-21
87,Analytik IT - CIPS,Bratislava,Sociálna poisťovňa, 1 800 EUR/mesiac,pracovna-ponuka/1310179/analytik-it-cips,2023-03-21
88,Analytik IT - SDS,Bratislava,Sociálna poisťovňa, 1 800 EUR/mesiac,pracovna-ponuka/1310145/analytik-it-sds,2023-03-21
89,Programátor COBOL,Bratislava,Sociálna poisťovňa, 2 000 EUR/mesiac,pracovna-ponuka/1301871/programator-cobol,2023-03-21
90,Senior technik telekomunikačných služieb a sietí (m/ž),"Slovenská republika, Košický kraj",Slovak Telekom, 1 200 EUR/mesiac,pracovna-ponuka/1326919/senior-technik-telekomunikacnych-sluzieb-a-sieti-m-z-,2023-03-21
91,Server Administrator (Azure) (Ref. č.: 131-16-41829),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1328043/server-administrator-azure-ref-c-131-16-41829-,2023-03-21
92,MEST IT Junior (Ref. č.: 1-15-41554),Skalica,Grafton Slovakia s.r.o., 1 600 EUR/mesiac,pracovna-ponuka/1317084/mest-it-junior-ref-c-1-15-41554-,2023-03-21
93,QlikView Developer (Ref. č.: 1-16-41546),Košice,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1317082/qlikview-developer-ref-c-1-16-41546-,2023-03-21
94,Fullstack developer (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 800 EUR/mesiac,pracovna-ponuka/1307115/fullstack-developer-m-z-,2023-03-21
95,DEVOPS ENGINEER  - PL/SQL developer (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1307113/devops-engineer-pl-sql-developer-m-z-,2023-03-21
96,Databázový špecialista - migrácie (TPP/ živnosť a s možnosťou práce full remote) (Ref. č.: 1-16-41361),Bratislava,Grafton Slovakia s.r.o., 2 100 EUR/mesiac,pracovna-ponuka/1316924/databazovy-specialista-migracie-tpp-zivnost-a-s-moznostou-prace-full-remote-ref-c-1-16-41361-,2023-03-21
97,Java developer - TPP/živnosť & REMOTE (Ref. č.: 1-16-41374),Bratislava,Grafton Slovakia s.r.o., 1 900 EUR/mesiac,pracovna-ponuka/1311803/java-developer-tpp-zivnost-remote-ref-c-1-16-41374-,2023-03-21
98,JAVA Developer  (m/f),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 500 EUR/mesiac,pracovna-ponuka/1306807/java-developer-m-f-,2023-03-21
99,Java Developer pre Digital IT (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1119087/java-developer-pre-digital-it-m-z-,2023-03-21
100,Biznis Analytik,Košice,Holcim European Business Services s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1324283/biznis-analytik,2023-03-21
101,Senior programátor,Bratislava,ARBITAS s.r.o., 700 EUR/mesiac,pracovna-ponuka/1319254/senior-programator,2023-03-21
102,Databázový analytik,Bratislava,Voxwise s.r.o., 750 EUR/mesiac,pracovna-ponuka/1315400/databazovy-analytik,2023-03-21
103,Programátor CNC strojov,Námestovo,MECASYS s. r. o., 2 400 EUR/mesiac,pracovna-ponuka/1132167/programator-cnc-strojov,2023-03-21
104,Java Developer (banking sector) (Ref. č.: 1-16-39481),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1301653/java-developer-banking-sector-ref-c-1-16-39481-,2023-03-21
